I,X,G,ECC_H,ECC_i,ECC_s,Nursery_H,Nursery_i,Nursery_s
7.779118,3.0,0.0,0,0.0,0.0,0,0.0,0.0
6.827146000000001,2.1,0.0,0,0.0,0.0,0,0.0,0.0
7.7911980000000005,2.62,0.0,0,0.0,0.0,0,0.0,0.0
7.073966,2.4,0.0,0,0.0,0.0,0,0.0,0.0
5.597672000000001,2.7600000000000002,0.0,0,0.0,0.0,0,0.0,0.0
6.8250470000000005,2.18,0.0,0,0.0,0.0,0,0.0,0.0
7.759960000000001,2.6,0.0,0,0.0,0.0,0,0.0,0.0
7.247567000000001,2.2199999999999998,0.0,0,0.0,0.0,0,0.0,0.0
5.366302,2.5,0.0,0,0.0,0.0,0,0.0,0.0
5.036925000000001,2.2,0.130588,0,0.0,0.0,0,0.0,0.0
5.060047000000001,2.3899999999999997,0.8275,0,0.0,0.0,0,0.0,0.0
4.802482,2.21,5.103,0,0.0,0.0,0,0.0,0.0
3.1059419999999998,2.2,8.7904,0,0.0,2.2662671,0,0.0,0.0
3.256475,2.4,13.251,0,0.0,0.0,0,0.0,0.0
4.456123000000001,2.1,15.236,0,0.0,3.0,0,0.0,0.0
7.223311,2.58,20.288,0,0.0,0.0,0,0.0,0.0
5.835149,2.1,15.7768,0,0.0,3.0,0,0.0,0.94888298
6.350500000000001,2.66,13.1226,0,0.0,0.0,0,0.0,0.0
5.032440000000001,2.1,22.462,10,0.0,3.0,0,0.0,1.0
7.401209,2.8,24.702,50,0.0,0.0,5,0.0,0.0
6.2567379999999995,2.4,29.934,50,0.0,0.0,5,0.0,0.0
6.7142349999999995,2.6100000000000003,28.13,10,0.0,0.0,5,0.0,0.0
8.106309999999999,2.5,26.906,10,0.0,0.0,5,0.0,0.0
8.289299,2.69,26.01,10,0.0,0.0,5,0.0,0.0
6.775872,2.6100000000000003,27.088,10,0.0,0.0,5,0.0,0.0
6.673725,2.6100000000000003,26.212,10,0.0,0.0,5,0.0,0.0
5.974654999999999,2.73,20.104,10,0.0,0.0,5,0.0,0.0
6.717026,2.0,20.634,50,0.0,3.0,5,0.0,0.81103802
4.881030999999999,2.2,14.2236,50,0.0,3.0,5,0.0,0.0
3.917023,2.1,9.6804,10,0.0,3.0,5,0.0,0.0
5.708308,2.0,7.532,10,0.0,3.0,5,0.0,1.0
5.179365,2.27,7.0248,10,0.0,2.1627681,5,0.0,0.0
6.245056999999999,2.1,5.5544,10,0.0,3.0,5,0.0,1.0
8.365761999999998,2.82,6.5336,10,0.0,0.0,5,0.0,0.0
8.190244,2.68,4.4462,10,0.0,0.0,5,0.0,0.0
9.745556,3.2299999999999995,3.6346,10,0.0,0.0,5,0.0,0.0
9.701085,3.31,2.4288,100,0.0,0.0,5,0.0,0.0
9.538386999999998,3.3,1.37196,100,0.0,0.0,5,0.0,0.0
9.629534,3.4,0.45644,10,0.0,0.0,5,0.0,0.0
8.007491,3.2,0.026852,0,0.0,0.0,0,0.0,0.0
8.629017,3.6,0.0,0,0.0,0.0,0,0.0,0.0
8.194697999999999,3.2,0.0,0,0.0,0.0,0,0.0,0.0
10.111510999999998,4.0,0.0,0,0.0,0.0,0,0.0,0.0
8.213339,3.5,0.0,0,0.0,0.0,0,0.0,0.0
6.996164000000001,3.41,0.0,0,0.0,0.0,0,0.0,0.0
3.6002030000000005,2.6,0.0,0,0.0,0.0,0,0.0,0.0
4.933082000000001,2.4,0.0,0,0.0,0.0,0,0.0,0.0
2.666049,1.85,0.0,0,0.0,0.0,0,0.0,0.0
